Month,Type,Baseline_Forecast,VOX_ING_Forecast,Combined_Forecast,Target,VOX_Share_Percent
Jun-2023,Historical,"$1,030,582",$0,"$1,030,582","$1,236,698",0.0%
Jul-2023,Historical,"$1,141,219",$0,"$1,141,219","$1,369,463",0.0%
Aug-2023,Historical,"$848,972",$0,"$848,972","$1,018,766",0.0%
Sep-2023,Historical,"$976,563",$0,"$976,563","$1,171,876",0.0%
Oct-2023,Historical,"$981,215",$0,"$981,215","$1,177,458",0.0%
Nov-2023,Historical,"$1,405,521",$0,"$1,405,521","$1,686,625",0.0%
Dec-2023,Historical,"$1,403,411",$0,"$1,403,411","$1,684,093",0.0%
Jan-2024,Historical,"$754,477",$0,"$754,477","$905,372",0.0%
Feb-2024,Historical,"$945,195",$0,"$945,195","$1,134,235",0.0%
Mar-2024,Historical,"$1,116,312",$0,"$1,116,312","$1,339,574",0.0%
Apr-2024,Historical,"$1,133,555",$0,"$1,133,555","$1,360,265",0.0%
May-2024,Historical,"$2,209,543",$0,"$2,209,543","$2,651,451",0.0%
Jun-2024,Historical,"$2,343,868",$0,"$2,343,868","$2,812,641",0.0%
Jul-2024,Historical,"$2,236,578",$0,"$2,236,578","$2,683,893",0.0%
Aug-2024,Historical,"$2,556,678",$0,"$2,556,678","$3,068,013",0.0%
Sep-2024,Historical,"$2,469,675",$0,"$2,469,675","$2,963,610",0.0%
Oct-2024,Historical,"$2,722,958",$0,"$2,722,958","$3,267,550",0.0%
Nov-2024,Historical,"$4,070,588",$0,"$4,070,588","$4,884,706",0.0%
Dec-2024,Historical,"$4,276,395",$0,"$4,276,395","$5,131,674",0.0%
Jan-2025,Historical,"$3,277,216",$0,"$3,277,216","$3,932,660",0.0%
Feb-2025,Historical,"$2,931,641",$0,"$2,931,641","$3,517,969",0.0%
Mar-2025,Historical,"$3,608,413",$0,"$3,608,413","$4,330,095",0.0%
Apr-2025,Historical,"$3,198,688",$0,"$3,198,688","$3,838,425",0.0%
May-2025,Historical,"$4,029,357",$0,"$4,029,357","$4,835,228",0.0%
Jun-2025,Historical,"$4,190,617",$0,"$4,190,617","$5,028,741",0.0%
Jul-2025,Forecast,"$3,708,172",$0,"$3,708,172","$4,449,806",0.0%
Aug-2025,Forecast,"$3,708,172","$1,411,256","$5,119,428","$5,861,062",27.6%
Sep-2025,Forecast,"$3,708,172","$2,711,256","$6,419,428","$7,161,062",42.2%
Oct-2025,Forecast,"$3,708,172","$3,436,638","$7,144,810","$7,886,444",48.1%
Nov-2025,Forecast,"$4,839,164","$4,484,813","$9,323,977","$10,291,810",48.1%
Dec-2025,Forecast,"$6,179,613","$5,727,106","$11,906,719","$13,142,641",48.1%
